"Week","count"
2017-01-02,1345
2017-01-09,1573
2017-01-16,1755
2017-01-23,1682
2017-01-30,1810
2017-02-06,1696
2017-02-13,1708
2017-02-20,1624
2017-02-27,1619
2017-03-06,1678
2017-03-13,1744
2017-03-20,1726
2017-03-27,1716
2017-04-03,1753
2017-04-10,1658
2017-04-17,1754
2017-04-24,1790
2017-05-01,1786
2017-05-08,1835
2017-05-15,1704
2017-05-22,1965
2017-05-29,1877
2017-06-05,1905
2017-06-12,1880
2017-06-19,1840
2017-06-26,1880
2017-07-03,1776
2017-07-10,1760
2017-07-17,1909
2017-07-24,1862
2017-07-31,1982
2017-08-07,1856
2017-08-14,1932
2017-08-21,2012
2017-08-28,1963
2017-09-04,1752
2017-09-11,1986
2017-09-18,1852
2017-09-25,1892
2017-10-02,1923
2017-10-09,1807
2017-10-16,1821
2017-10-23,1742
2017-10-30,1751
2017-11-06,1783
2017-11-13,1768
2017-11-20,1484
2017-11-27,1823
2017-12-04,1749
2017-12-11,1706
2017-12-18,1651
2017-12-25,1304
2018-01-01,1554
2018-01-08,1741
2018-01-15,1757
2018-01-22,1737
2018-01-29,1793
2018-02-05,1702
2018-02-12,1726
2018-02-19,1680
2018-02-26,1700
2018-03-05,1695
2018-03-12,1689
2018-03-19,1809
2018-03-26,1525
2018-04-02,1798
2018-04-09,1868
2018-04-16,1836
2018-04-23,1874
2018-04-30,1927
2018-05-07,1932
2018-05-14,1829
2018-05-21,1955
2018-05-28,1862
2018-06-04,1778
2018-06-11,1870
2018-06-18,1845
2018-06-25,1908
2018-07-02,1795
2018-07-09,1933
2018-07-16,1911
2018-07-23,1906
2018-07-30,1987
2018-08-06,1830
2018-08-13,1910
2018-08-20,1889
2018-08-27,1976
2018-09-03,1847
2018-09-10,1955
2018-09-17,1955
2018-09-24,1885
2018-10-01,1892
2018-10-08,1728
2018-10-15,1745
2018-10-22,1901
2018-10-29,1764
2018-11-05,1690
2018-11-12,1746
2018-11-19,1484
2018-11-26,1697
2018-12-03,1725
2018-12-10,1733
2018-12-17,1668
2018-12-24,1244
2018-12-31,1561
2019-01-07,1714
2019-01-14,1731
2019-01-21,1724
2019-01-28,1707
2019-02-04,1646
2019-02-11,1676
2019-02-18,1593
2019-02-25,1623
2019-03-04,1674
2019-03-11,1561
2019-03-18,1577
2019-03-25,1620
2019-04-01,1743
2019-04-08,1609
2019-04-15,1663
2019-04-22,1736
2019-04-29,1684
2019-05-06,1601
2019-05-13,1725
2019-05-20,1691
2019-05-27,1731
2019-06-03,1808
2019-06-10,1795
2019-06-17,1797
2019-06-24,1899
2019-07-01,1726
2019-07-08,1840
2019-07-15,1833
2019-07-22,1869
2019-07-29,1894
2019-08-05,1842
2019-08-12,1912
2019-08-19,1926
2019-08-26,1904
2019-09-02,1757
2019-09-09,1859
2019-09-16,1882
2019-09-23,1889
2019-09-30,1835
2019-10-07,1744
2019-10-14,1736
2019-10-21,1669
2019-10-28,1526
2019-11-04,1727
2019-11-11,1779
2019-11-18,1802
2019-11-25,1293
2019-12-02,1731
2019-12-09,1726
2019-12-16,1636
2019-12-23,1308
2019-12-30,1641
2020-01-06,1734
2020-01-13,1718
2020-01-20,1719
2020-01-27,1760
2020-02-03,1624
2020-02-10,1705
2020-02-17,1645
2020-02-24,1707
2020-03-02,1762
2020-03-09,1544
2020-03-16,1060
2020-03-23,1086
2020-03-30,1197
2020-04-06,1253
2020-04-13,1194
2020-04-20,1311
2020-04-27,1374
2020-05-04,1392
2020-05-11,1526
2020-05-18,1491
2020-05-25,1735
2020-06-01,1718
2020-06-08,1339
2020-06-15,1497
2020-06-22,1609
2020-06-29,1619
2020-07-06,1725
2020-07-13,1665
2020-07-20,1650
2020-07-27,1755
2020-08-03,1783
2020-08-10,1767
2020-08-17,1815
2020-08-24,1687
2020-08-31,1758
2020-09-07,1668
2020-09-14,1837
2020-09-21,1793
2020-09-28,1735
2020-10-05,1779
2020-10-12,1753
2020-10-19,1719
2020-10-26,1630
2020-11-02,1684
2020-11-09,1598
2020-11-16,1672
2020-11-23,1461
2020-11-30,1740
2020-12-07,1808
2020-12-14,1753
2020-12-21,1509
2020-12-28,1641
2021-01-04,1804
2021-01-11,1889
2021-01-18,1795
2021-01-25,1937
2021-02-01,1747
2021-02-08,1717
2021-02-15,1721
2021-02-22,1844
2021-03-01,1816
2021-03-08,1627
2021-03-15,1643
2021-03-22,1722
2021-03-29,1685
2021-04-05,1785
2021-04-12,1602
2021-04-19,1852
2021-04-26,1863
2021-05-03,1911
2021-05-10,1944
2021-05-17,1951
2021-05-24,1875
2021-05-31,1896
2021-06-07,1967
2021-06-14,1886
2021-06-21,1955
2021-06-28,1896
2021-07-05,1871
2021-07-12,1927
2021-07-19,1986
2021-07-26,1891
2021-08-02,1854
2021-08-09,1944
2021-08-16,1849
2021-08-23,1959
2021-08-30,1901
2021-09-06,1795
2021-09-13,1867
2021-09-20,1978
2021-09-27,1805
2021-10-04,1810
2021-10-11,1830
2021-10-18,1901
2021-10-25,1808
2021-11-01,1825
2021-11-08,1788
2021-11-15,1808
2021-11-22,1670
2021-11-29,1890
2021-12-06,1895
2021-12-13,1863
2021-12-20,1527
2021-12-27,1597
2022-01-03,1721
2022-01-10,1897
2022-01-17,1909
2022-01-24,1907
2022-01-31,1779
2022-02-07,1964
2022-02-14,1951
2022-02-21,1743
2022-02-28,24
